Phi [deg],E- Freq='4GHz' Theta='0deg',H- Freq='4GHz' Phi='0deg',test,H - Freq='4GHz' Phi='0deg',E  - Freq='4GHz' Theta='0deg'
-180,-3.357914567,-15.16785423,,0.394116207,1.06981653
-178,-3.357914567,-8.520233373,,0.402351551,1.06981653
-176,-3.357914567,-6.026923871,,0.41378502,1.06981653
-174,-3.357914567,-5.86421134,,0.428351085,1.06981653
-172,-3.357914567,-8.020552415,,0.445910736,1.06981653
-170,-3.357914567,-14.50041674,,0.466262034,1.06981653
-168,-3.357914567,-22.34146508,,0.489153424,1.06981653
-166,-3.357914567,-9.918323617,,0.514298896,1.06981653
-164,-3.357914567,-6.147374732,,0.541393991,1.06981653
-162,-3.357914567,-5.169392112,,0.570131654,1.06981653
-160,-3.357914567,-6.379699615,,0.600216996,1.06981653
-158,-3.357914567,-10.64233366,,0.631380105,1.06981653
-156,-3.357914567,-24.2535908,,0.663386155,1.06981653
-154,-3.357914567,-11.74375574,,0.696042272,1.06981653
-152,-3.357914567,-6.180595469,,0.729200751,1.06981653
-150,-3.357914567,-3.974433876,,0.762758501,1.06981653
-148,-3.357914567,-3.66594364,,0.796652837,1.06981653
-146,-3.357914567,-5.069696381,,0.83085398,1.06981653
-144,-3.357914567,-8.810230675,,0.865354919,1.06981653
-142,-3.357914567,-18.22783867,,0.90015948,1.06981653
-140,-3.357914567,-14.44378931,,0.935269634,1.06981653
-138,-3.357914567,-7.55030551,,0.970673117,1.06981653
-136,-3.357914567,-4.609172981,,1.00633248,1.06981653
-134,-3.357914567,-3.468927938,,1.042176487,1.06981653
-132,-3.357914567,-3.580423734,,1.078094646,1.06981653
-130,-3.357914567,-4.828336388,,1.113935324,1.06981653
-128,-3.357914567,-7.372598767,,1.149507601,1.06981653
-126,-3.357914567,-11.76111587,,1.184586678,1.06981653
-124,-3.357914567,-18.00672568,,1.218922354,1.06981653
-122,-3.357914567,-15.74150072,,1.252249855,1.06981653
-120,-3.357914567,-11.73277493,,1.284302104,1.06981653
-118,-3.357914567,-9.998786485,,1.314822435,1.06981653
-116,-3.357914567,-9.859390506,,1.343576777,1.06981653
-114,-3.357914567,-11.09085319,,1.370364362,1.06981653
-112,-3.357914567,-13.68516233,,1.395026194,1.06981653
-110,-3.357914567,-16.2207187,,1.417450682,1.06981653
-108,-3.357914567,-13.93668139,,1.437576097,1.06981653
-106,-3.357914567,-10.07616807,,1.455389717,1.06981653
-104,-3.357914567,-7.230124926,,1.470923828,1.06981653
-102,-3.357914567,-5.293841945,,1.484248903,1.06981653
-100,-3.357914567,-4.014361995,,1.495464545,1.06981653
-98,-3.357914567,-3.222160569,,1.504688848,1.06981653
-96,-3.357914567,-2.8029621,,1.512046968,1.06981653
-94,-3.357914567,-2.668823456,,1.517659711,1.06981653
-92,-3.357914567,-2.737140058,,1.521632888,1.06981653
-90,-3.357914567,-2.913108908,,1.524048172,1.06981653
-88,-3.357914567,-3.077144247,,1.524956029,1.06981653
-86,-3.357914567,-3.089570435,,1.524371189,1.06981653
-84,-3.357914567,-2.828980069,,1.522270943,1.06981653
-82,-3.357914567,-2.250479288,,1.518596396,1.06981653
-80,-3.357914567,-1.405849532,,1.51325659,1.06981653
-78,-3.357914567,-0.399998585,,1.506135237,1.06981653
-76,-3.357914567,0.666431522,,1.497099609,1.06981653
-74,-3.357914567,1.723559564,,1.486010932,1.06981653
-72,-3.357914567,2.731353032,,1.472735501,1.06981653
-70,-3.357914567,3.669615782,,1.457155648,1.06981653
-68,-3.357914567,4.528701994,,1.439179633,1.06981653
-66,-3.357914567,5.303134868,,1.418749626,1.06981653
-64,-3.357914567,5.987639883,,1.395847099,1.06981653
-62,-3.357914567,6.57479154,,1.370495153,1.06981653
-60,-3.357914567,7.053730888,,1.342757663,1.06981653
-58,-3.357914567,7.409651204,,1.312735406,1.06981653
-56,-3.357914567,7.623875299,,1.280559723,1.06981653
-54,-3.357914567,7.674397911,,1.246384489,1.06981653
-52,-3.357914567,7.536796142,,1.210377391,1.06981653
-50,-3.357914567,7.185463245,,1.172711546,1.06981653
-48,-3.357914567,6.595218771,,1.13355846,1.06981653
-46,-3.357914567,5.743476125,,1.093083103,1.06981653
-44,-3.357914567,4.613193772,,1.051441642,1.06981653
-42,-3.357914567,3.196433344,,1.008782015,1.06981653
-40,-3.357914567,1.496719066,,0.965247235,1.06981653
-38,-3.357914567,-0.47473427,,0.920980978,1.06981653
-36,-3.357914567,-2.712047256,,0.876134822,1.06981653
-34,-3.357914567,-5.199399546,,0.830876332,1.06981653
-32,-3.357914567,-7.644078031,,0.785397112,1.06981653
-30,-3.357914567,-8.668882621,,0.739919981,1.06981653
-28,-3.357914567,-7.181856607,,0.694704468,1.06981653
-26,-3.357914567,-4.895566404,,0.650049932,1.06981653
-24,-3.357914567,-3.100188451,,0.6062958,1.06981653
-22,-3.357914567,-2.090269824,,0.563818533,1.06981653
-20,-3.357914567,-1.950987733,,0.523025208,1.06981653
-18,-3.357914567,-2.832714994,,0.484343753,1.06981653
-16,-3.357914567,-5.134027229,,0.448210193,1.06981653
-14,-3.357914567,-10.11798896,,0.415053426,1.06981653
-12,-3.357914567,-21.59424729,,0.385278346,1.06981653
-10,-3.357914567,-10.24888956,,0.359248278,1.06981653
-8,-3.357914567,-4.925306869,,0.337267838,1.06981653
-6,-3.357914567,-2.450855228,,0.319567389,1.06981653
-4,-3.357914567,-1.535362603,,0.306290214,1.06981653
-2,-3.357914567,-1.839011928,,0.29748338,1.06981653
0,-3.357914567,-3.357914567,,0.29309304,1.06981653
2,-3.357914567,-6.394882731,,0.292964567,1.06981653
4,-3.357914567,-11.94849039,,0.296847587,1.06981653
6,-3.357914567,-21.41067921,,0.304405572,1.06981653
8,-3.357914567,-15.52810143,,0.315229322,1.06981653
10,-3.357914567,-12.13531989,,0.328853411,1.06981653
12,-3.357914567,-12.09803843,,0.344774478,1.06981653
14,-3.357914567,-14.94822971,,0.36247022,1.06981653
16,-3.357914567,-19.40450929,,0.381417964,1.06981653
18,-3.357914567,-13.34180281,,0.401111881,1.06981653
20,-3.357914567,-7.793927062,,0.421078094,1.06981653
22,-3.357914567,-4.225302796,,0.440887161,1.06981653
24,-3.357914567,-1.744583813,,0.460163695,1.06981653
26,-3.357914567,0.038593536,,0.478593048,1.06981653
28,-3.357914567,1.292779473,,0.495925166,1.06981653
30,-3.357914567,2.091331293,,0.511975829,1.06981653
32,-3.357914567,2.471804101,,0.526625535,1.06981653
34,-3.357914567,2.469358302,,0.539816327,1.06981653
36,-3.357914567,2.143143621,,0.551546819,1.06981653
38,-3.357914567,1.607494173,,0.561865722,1.06981653
40,-3.357914567,1.062557479,,0.570864132,1.06981653
42,-3.357914567,0.770761099,,0.57866688,1.06981653
44,-3.357914567,0.910401504,,0.585423291,1.06981653
46,-3.357914567,1.428650731,,0.591297734,1.06981653
48,-3.357914567,2.117171206,,0.59646039,1.06981653
50,-3.357914567,2.786308559,,0.601078708,1.06981653
52,-3.357914567,3.329773955,,0.605309976,1.06981653
54,-3.357914567,3.704778067,,0.609295407,1.06981653
56,-3.357914567,3.901852365,,0.613156015,1.06981653
58,-3.357914567,3.926947116,,0.616990418,1.06981653
60,-3.357914567,3.793896256,,0.620874515,1.06981653
62,-3.357914567,3.522507029,,0.624862821,1.06981653
64,-3.357914567,3.139272271,,0.628991059,1.06981653
66,-3.357914567,2.679068214,,0.633279506,1.06981653
68,-3.357914567,2.186571869,,0.637736522,1.06981653
70,-3.357914567,1.715677129,,0.642361704,1.06981653
72,-3.357914567,1.324588402,,0.647148197,1.06981653
74,-3.357914567,1.065194099,,0.652083852,1.06981653
76,-3.357914567,0.96938586,,0.657151105,1.06981653
78,-3.357914567,1.039908174,,0.662325664,1.06981653
80,-3.357914567,1.252374923,,0.667574283,1.06981653
82,-3.357914567,1.566855896,,0.672852073,1.06981653
84,-3.357914567,1.940981392,,0.678099862,1.06981653
86,-3.357914567,2.338222776,,0.683242156,1.06981653
88,-3.357914567,2.73038316,,0.688186167,1.06981653
90,-3.357914567,3.096419417,,0.692822292,1.06981653
92,-3.357914567,3.419870056,,0.697026206,1.06981653
94,-3.357914567,3.686246152,,0.700662604,1.06981653
96,-3.357914567,3.880952846,,0.703590431,1.06981653
98,-3.357914567,3.987886577,,0.705669281,1.06981653
100,-3.357914567,3.98869778,,0.706766591,1.06981653
102,-3.357914567,3.862731021,,0.706765126,1.06981653
104,-3.357914567,3.587866262,,0.705570276,1.06981653
106,-3.357914567,3.143028492,,0.703116668,1.06981653
108,-3.357914567,2.514346173,,0.699373598,1.06981653
110,-3.357914567,1.709297458,,0.694348867,1.06981653
112,-3.357914567,0.785813674,,0.688090634,1.06981653
114,-3.357914567,-0.104010792,,0.680686985,1.06981653
116,-3.357914567,-0.705890173,,0.672263055,1.06981653
118,-3.357914567,-0.809395258,,0.662975659,1.06981653
120,-3.357914567,-0.477795131,,0.65300558,1.06981653
122,-3.357914567,-0.009516653,,0.642547862,1.06981653
124,-3.357914567,0.298103918,,0.631800656,1.06981653
126,-3.357914567,0.248402994,,0.620953327,1.06981653
128,-3.357914567,-0.282931256,,0.610174685,1.06981653
130,-3.357914567,-1.383898944,,0.599602268,1.06981653
