Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal),,dB(GainTotal)
4,0,-180,0.149859906,,-15.3855354
4,0,-178,0.158095249,,-18.1390568
4,0,-176,0.169528719,,-9.702703869
4,0,-174,0.184094783,,-6.323708449
4,0,-172,0.201654435,,-5.255130341
4,0,-170,0.222005733,,-5.913748076
4,0,-168,0.244897123,,-8.483441681
4,0,-166,0.270042595,,-13.78542899
4,0,-164,0.29713769,,-14.81383498
4,0,-162,0.325875353,,-8.940600666
4,0,-160,0.355960695,,-5.788124408
4,0,-158,0.387123803,,-4.58393895
4,0,-156,0.419129854,,-4.89715258
4,0,-154,0.451785971,,-6.672010473
4,0,-152,0.484944449,,-9.545668933
4,0,-150,0.5185022,,-10.04663046
4,0,-148,0.552396536,,-6.993021143
4,0,-146,0.586597679,,-4.508159857
4,0,-144,0.621098618,,-3.305399528
4,0,-142,0.655903179,,-3.221041475
4,0,-140,0.691013332,,-4.080258626
4,0,-138,0.726416816,,-5.512137184
4,0,-136,0.762076179,,-6.336842055
4,0,-134,0.797920186,,-5.274780613
4,0,-132,0.833838344,,-3.293694914
4,0,-130,0.869679023,,-1.601580109
4,0,-128,0.9052513,,-0.500612421
4,0,-126,0.940330377,,0.030721829
4,0,-124,0.974666052,,0.080422754
4,0,-122,1.007993554,,-0.227197818
4,0,-120,1.040045802,,-0.695476295
4,0,-118,1.070566134,,-1.027076423
4,0,-116,1.099320476,,-0.923571338
4,0,-114,1.126108061,,-0.321691957
4,0,-112,1.150769892,,0.56813251
4,0,-110,1.173194381,,1.491616293
4,0,-108,1.193319795,,2.296665008
4,0,-106,1.211133416,,2.925347327
4,0,-104,1.226667527,,3.370185097
4,0,-102,1.239992602,,3.645049857
4,0,-100,1.251208244,,3.771016615
4,0,-98,1.260432546,,3.770205412
4,0,-96,1.267790667,,3.663271681
4,0,-94,1.27340341,,3.468564988
4,0,-92,1.277376587,,3.202188891
4,0,-90,1.279791871,,2.878738253
4,0,-88,1.280699728,,2.512701995
4,0,-86,1.280114887,,2.120541612
4,0,-84,1.278014642,,1.723300227
4,0,-82,1.274340095,,1.349174732
4,0,-80,1.269000288,,1.034693758
4,0,-78,1.261878936,,0.822227009
4,0,-76,1.252843308,,0.751704695
4,0,-74,1.241754631,,0.847512934
4,0,-72,1.2284792,,1.106907237
4,0,-70,1.212899347,,1.497995964
4,0,-68,1.194923331,,1.968890704
4,0,-66,1.174493325,,2.46138705
4,0,-64,1.151590797,,2.921591106
4,0,-62,1.126238852,,3.304825864
4,0,-60,1.098501362,,3.576215091
4,0,-58,1.068479105,,3.709265951
4,0,-56,1.036303422,,3.6841712
4,0,-54,1.002128188,,3.487096902
4,0,-52,0.966121089,,3.11209279
4,0,-50,0.928455245,,2.568627394
4,0,-48,0.889302159,,1.899490041
4,0,-46,0.848826802,,1.210969566
4,0,-44,0.80718534,,0.69272034
4,0,-42,0.764525714,,0.553079934
4,0,-40,0.720990933,,0.844876314
4,0,-38,0.676724676,,1.389813008
4,0,-36,0.631878521,,1.925462456
4,0,-34,0.586620031,,2.251677138
4,0,-32,0.541140811,,2.254122937
4,0,-30,0.49566368,,1.873650128
4,0,-28,0.450448166,,1.075098308
4,0,-26,0.405793631,,-0.179087629
4,0,-24,0.362039499,,-1.962264977
4,0,-22,0.319562232,,-4.44298396
4,0,-20,0.278768906,,-8.011608227
4,0,-18,0.240087452,,-13.55948398
4,0,-16,0.203953892,,-19.62219045
4,0,-14,0.170797124,,-15.16591088
4,0,-12,0.141022045,,-12.3157196
4,0,-10,0.114991977,,-12.35300105
4,0,-8,0.093011537,,-15.7457826
