"Theta [deg]","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='45deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='90deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='135deg'"
-180,-18.4275232581537,-18.4275232581537,-18.4275232581537,-18.4275232581537
-179.5,-18.5013874989159,-18.4723684991905,-18.3980405608934,-18.3308645650233
-179,-18.5178165845897,-18.4485287149943,-18.2930679531302,-18.1753056982338
-178.5,-18.4734680045111,-18.3548769889433,-18.1185418644774,-17.9691386110928
-178,-18.3674026803795,-18.1938984037502,-17.8834664119132,-17.7214345374079
-177.5,-18.2012624533066,-17.9713234209598,-17.5985982696393,-17.4411784724898
-177,-17.9790971627618,-17.6953008684712,-17.2751561938594,-17.1366507212459
-176.5,-17.7068878638612,-17.3753507817269,-16.9238073311624,-16.8150726374922
-176,-17.3918878301699,-17.021351173623,-16.554026695464,-16.4824732109341
-175.5,-17.0419280561195,-16.6427360153631,-16.1738016647465,-16.1437099894428
-175,-16.6648088620622,-16.2479740524254,-15.7895915317591,-15.8025805164116
-174.5,-16.2678466478605,-15.8443113500608,-15.4064428302631,-15.4619750540934
-174,-15.8575917564675,-15.437715043344,-15.0281798071799,-15.1240380044006
-173.5,-15.4396965353818,-15.0329461730138,-14.6576157276659,-14.790319314107
-173,-15.0188956714086,-14.6337003998233,-14.2967538314252,-14.4619069405244
-172.5,-14.599059094997,-14.2427732257322,-13.9469632232772,-14.1395375664866
-172,-14.1832842804129,-13.862223158244,-13.6091251328606,-13.8236861545777
-171.5,-13.7740039937059,-13.493518954467,-13.2837504649651,-13.5146365617492
-171,-13.3730941853894,-13.1376654153917,-12.9710720590673,-13.2125360174267
-170.5,-12.9819734522358,-12.795307057884,-12.6711158570823,-12.917436285215
-170,-12.6016901283502,-12.4668114686592,-12.383755077232,-12.6293240776339
-169.5,-12.2329959553669,-12.1523351568866,-12.1087510050169,-12.3481429437007
