Freq [GHz],"dB(S(1,1)) []","dB(S(1,1)) []"
3,-4.031941753,-5.005436683
3.01,-4.121089545,-5.047082952
3.02,-4.212074449,-5.084274152
3.03,-4.3049226,-5.117130383
3.04,-4.399658282,-5.145815691
3.05,-4.496303745,-5.170542725
3.06,-4.594879038,-5.191578259
3.07,-4.695401839,-5.209249628
3.08,-4.797887305,-5.22395211
3.09,-4.902347922,-5.236157248
3.1,-5.008793374,-5.246422028
3.11,-5.117230423,-5.255398772
3.12,-5.227662804,-5.263845442
3.13,-5.340091129,-5.272635919
3.14,-5.454512812,-5.282769555
3.15,-5.57092201,-5.29537907
3.16,-5.689309581,-5.311735476
3.17,-5.809663055,-5.333248409
3.18,-5.93196663,-5.361459808
3.19,-6.056201181,-5.398028628
3.2,-6.182344286,-5.444704065
3.21,-6.310370276,-5.503284867
3.22,-6.440250297,-5.575562799
3.23,-6.571952394,-5.6632493
3.24,-6.705441608,-5.767885957
3.25,-6.840680089,-5.890741503
3.26,-6.97762723,-6.032700464
3.27,-7.116239811,-6.194151004
3.28,-7.256472156,-6.374881408
3.29,-7.398276307,-6.573995553
3.3,-7.541602205,-6.789857437
3.31,-7.686397887,-7.020073198
3.32,-7.832609683,-7.261516469
3.33,-7.980182433,-7.510399879
3.34,-8.1290597,-7.762392457
3.35,-8.279183993,-8.01277986
3.36,-8.430496997,-8.256661669
3.37,-8.582939796,-8.489177033
3.38,-8.73645311,-8.705746528
3.39,-8.890977519,-8.902314333
3.4,-9.046453695,-9.075571635
3.41,-9.202822622,-9.223140886
3.42,-9.360025825,-9.343702441
3.43,-9.518005572,-9.437050886
3.44,-9.676705089,-9.504077099
3.45,-9.836068753,-9.546681962
3.46,-9.996042275,-9.567636001
3.47,-10.15657287,-9.570404075
3.48,-10.31760943,-9.558954798
3.49,-10.47910264,-9.537571271
3.5,-10.64100509,-9.510674456
3.51,-10.80327142,-9.482665031
3.52,-10.96585835,-9.457785134
3.53,-11.12872475,-9.439998866
3.54,-11.29183162,-9.432889721
3.55,-11.45514213,-9.439573879
